@relation gps_data_extended_classes

@attribute obsID numeric
@attribute birdID numeric
@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric
@attribute c3 numeric
@attribute c8 numeric
@attribute c16 numeric

@data
3422,166,197,744,0.192614,121.600931,34.46724,0.94229,109.734471,1,5,7
3423,166,197,744,0.03,15611.642491,107.5204,0.66414,485.682815,1,1,1
3424,166,197,745,0.033166,59040.482962,197.6656,0.757113,783.233877,1,5,7
3425,166,197,745,0.133417,59164.832255,197.73,0.756463,784.16258,1,4,5
3426,166,197,746,19.422837,59734.769553,197.6686,0.752786,787.748499,3,6,10
3393,166,197,728,0.066332,7.629952,1.905428,0.365011,15.660601,1,1,1
3394,166,197,728,0.091104,5.551445,0.77419,0.160933,14.431923,1,1,1
3395,166,197,729,0.33,3.730945,1.065031,0.265367,12.040271,1,1,1
3396,166,197,729,0.289828,4.408334,1.386113,0.38074,10.921733,1,1,1
3398,166,197,730,0.433013,8.349319,2.156162,0.493294,13.112846,1,1,1
6940,167,184,592,0.229347,22.20586,5.424134,0.6774,16.014563,2,2,2
6941,167,184,592,0.092195,31.244015,6.867999,0.753227,18.236201,2,2,2
6946,167,184,594,0.123693,15.626833,13.12313,0.920109,14.262591,2,2,2
6947,167,184,594,0.190263,20.438705,6.507105,0.905523,14.372033,2,2,2
6948,167,184,594,0.251992,21.378865,6.920471,0.918657,15.066491,2,2,2
6932,167,184,590,0.256125,7.758201,5.981841,0.949828,12.595634,2,2,2
6951,167,184,595,0.148661,12.968636,7.180897,0.966346,14.861963,2,2,2
6953,167,184,595,0.269444,6.935845,11.87863,0.956532,12.418427,2,2,2
6954,167,184,596,0.287228,8.29502,5.850366,0.929176,12.592586,2,2,2
6933,167,184,590,0.115326,8.597769,5.555922,0.932352,11.918083,2,2,2
6960,167,184,597,0.05099,4.093426,3.696191,0.50944,7.255399,1,3,6
6961,167,184,598,0.09,7.40519,2.912616,0.525712,11.080664,1,3,6
6963,167,184,598,0.046904,9.514794,3.849753,0.627468,12.27076,2,2,2
6966,167,184,599,0.156205,21.264171,6.379993,0.868414,14.693434,2,2,2
6967,167,184,599,0.220454,7.217014,11.03042,0.956838,11.527992,2,2,2
6971,167,184,601,0.286531,10.226716,8.462326,0.792449,10.678697,2,2,2
6973,167,184,601,0.100499,16.478868,5.921051,0.820134,14.439225,1,3,6
6974,167,184,601,0.35,26.187449,14.55083,0.845366,17.212452,2,2,2
6980,167,184,603,0.151327,10.56341,2.16605,0.285736,15.161179,1,3,6
6981,167,184,603,0.222036,11.378371,2.963137,0.302808,19.571055,2,2,2
6982,167,184,604,0.100499,6.249379,2.523036,0.276163,18.272053,2,2,2
6984,167,184,604,0.071414,10.882519,3.971857,0.469395,16.923293,1,3,6
6986,167,184,605,0.134536,569.718084,2.904871,0.414056,154.344181,2,2,2
6987,167,184,605,0.434166,1211.349269,3.04008,0.516643,188.297428,2,2,2
6939,167,184,592,0.262488,21.174848,5.139653,0.633738,16.22013,2,2,2
7268,167,185,1022,0.074833,22.228201,1.134556,0.375816,30.189128,1,7,13
7278,167,185,1025,0.090554,3.432256,1.360443,0.195365,13.927156,1,7,13
7279,167,185,1025,0.053852,3.432256,0.582044,0.074939,15.533865,1,7,13
7281,167,185,1026,0.186011,2.171822,0.356916,0.071172,10.029666,1,7,13
7282,167,185,1026,0.110454,2.994744,0.624932,0.119561,10.453776,1,7,13
7269,167,185,1022,0.168819,4.789129,3.072213,0.468959,13.102256,1,7,13
7288,167,185,1028,0.09434,1.732905,0.69121,0.213263,6.482237,1,7,13
7290,167,185,1028,0.273679,2.169789,0.761273,0.093699,8.124665,1,7,13
7291,167,185,1029,0.037417,2.50014,0.996933,0.242172,8.233267,1,7,13
7292,167,185,1029,0.08124,2.50014,0.656985,0.122991,10.683451,1,7,13
7293,167,185,1029,0.071414,2.471687,0.230753,0.042578,10.839071,1,7,13
7294,167,185,1030,0.114455,1.928824,3.262978,0.335612,9.722464,1,7,13
7270,167,185,1022,0.1772,3.422721,3.41666,0.315306,10.83601,1,7,13
7301,167,185,1032,0.117898,1.122641,2.40077,0.465816,5.153905,1,7,13
7302,167,185,1032,0.080623,0.948523,0.72508,0.292273,4.961653,1,7,13
7304,167,185,1032,0.189737,0.091826,0.151975,0.068514,2.218168,1,7,13
7305,167,185,1033,0.347131,0.136205,0.435903,0.15887,2.743776,1,7,13
7306,167,185,1033,0.179722,0.827578,2.070217,0.643695,6.432289,1,7,13
7271,167,185,1023,0.071414,3.456494,2.260991,0.415075,10.894371,1,7,13
7307,167,185,1033,0.123693,6.641004,6.578301,0.896224,14.680031,1,7,13
7327,167,185,1039,?,46.136719,7.781345,0.511321,30.43626,1,7,13
7328,167,185,1040,0.124097,45.769861,5.513241,0.315172,34.985585,1,1,1
7331,167,185,1041,0.306757,5.65974,1.682904,0.149864,22.459158,1,7,13
7333,167,185,1041,0.306757,6.309907,2.789201,0.690683,12.114968,1,7,13
7334,167,185,1042,0.284781,3.004649,0.280034,0.082675,10.16151,1,7,13
7335,167,185,1043,0.35242,3.873209,0.794246,0.233221,10.216663,1,7,13
7336,167,185,1043,0.017321,4.133721,0.374004,0.151854,9.85167,1,7,13
7339,167,185,1045,0.070711,3.589305,1.260922,0.366773,13.751541,1,7,13
7340,167,185,1046,0.1,3.145213,0.767738,0.202585,11.369124,1,7,13
7344,167,185,1048,0.328329,5.911045,1.510917,0.192233,23.579424,1,7,13
7345,167,185,1048,0.151658,5.911045,1.115458,0.135044,24.779928,1,7,13
7447,167,186,766,0.148997,2125.898496,3.542908,0.808312,131.492818,1,3,6
7456,167,186,768,0.453982,19.65256,8.509157,0.455052,18.699324,1,3,6
7457,167,186,769,0.11,32.61371,8.426185,0.440412,19.132522,1,3,6
7458,167,186,769,0.373898,32.674359,4.319904,0.424836,20.33682,1,3,6
7459,167,186,769,0.123288,26.483421,3.497818,0.377102,18.551055,2,2,2
7460,167,186,769,0.066332,29.906916,8.249343,0.432909,19.055589,1,3,6
7463,167,186,770,0.174929,22.610474,3.567078,0.45225,15.774803,2,2,2
7448,167,186,766,0.070711,1359.554256,4.293567,0.807036,106.403416,2,2,2
7467,167,186,772,0.114455,22.555619,3.334627,0.421409,15.826092,1,3,4
7468,167,186,772,0.140712,26.964384,4.373061,0.450762,19.402978,1,3,6
