obsID,birdID,day,min,y,x,speed,prevDay,prevMin,prevY,prevX,prevSpeed,c3,c8,c16
1865,166,189,774,610326.442588572,210502.718012152,0.486723741,189,773,610329.956789228,210509.14497435,0.733416662,2,2,2
1869,166,189,775,610322.254870213,210464.198769015,0.260192237,189,775,610323.702898934,210462.369092732,0.286006993,2,2,2
1870,166,189,775,610321.706327797,210462.013782658,0.024494897,189,775,610322.254870213,210464.198769015,0.260192237,2,2,2
1871,166,189,775,610317.816976491,210461.614058691,0.392300905,189,775,610321.706327797,210462.013782658,0.024494897,2,2,2
1872,166,189,776,610316.973858286,210460.900040945,0.184119526,189,775,610317.816976491,210461.614058691,0.392300905,2,2,2
1877,166,189,777,610297.383931159,210471.486852592,0.147309199,189,777,610299.003084646,210469.057529731,0.229346899,1,3,4
1878,166,189,777,610299.019306193,210469.495615315,0.372021505,189,777,610297.383931159,210471.486852592,0.147309199,1,3,6
1881,166,189,778,610296.920757283,210467.069649083,0.190525589,189,778,610298.866599306,210468.806776064,0.053851648,2,2,2
1882,166,189,778,610297.135997419,210467.392533506,0.377624152,189,778,610296.920757283,210467.069649083,0.190525589,2,2,2
1840,166,189,767,610319.768555853,210522.252245189,0.547083175,189,766,610321.554642254,210526.521225457,0.070710678,2,4,11
1842,166,189,767,610333.725794106,210510.681578202,0.05,189,767,610333.821712708,210510.315236958,0.178044938,1,5,7
1843,166,189,767,610333.421052038,210510.319896147,0.129614814,189,767,610333.725794106,210510.681578202,0.05,1,5,7
1844,166,189,768,610333.196918579,210510.189693136,0.03,189,767,610333.421052038,210510.319896147,0.129614814,1,5,7
2133,166,190,854,610252.521288151,210433.698670862,0.407185461,190,854,610252.876402046,210434.56446299,0.64691576,2,2,2
2134,166,190,854,610254.795325605,210431.109001163,0.033166248,190,854,610252.521288151,210433.698670862,0.407185461,1,4,5
2135,166,190,855,610250.190320205,210435.219870308,0.02236068,190,854,610254.795325605,210431.109001163,0.033166248,1,3,4
2140,166,190,856,610250.938061018,210427.720610692,0.278028775,190,856,610252.294825375,210428.574772971,0.140356688,2,2,2
2144,166,190,857,610248.061571688,210427.315731552,0.072801099,190,857,610245.237162802,210424.685649685,0.286530976,2,2,2
2145,166,190,858,610244.799490558,210424.378623569,0.186815417,190,857,610248.061571688,210427.315731552,0.072801099,2,2,2
2146,166,190,858,610243.038211947,210423.197125632,0.412431813,190,858,610244.799490558,210424.378623569,0.186815417,1,3,6
2148,166,190,858,610242.572953152,210425.307595428,0.041231056,190,858,610243.695661936,210427.094160363,0.204939015,2,2,2
2150,166,190,859,610238.46877489,210426.537274319,0.4982971,190,859,610238.113844984,210424.728511742,0.938189746,2,4,8
2125,166,190,852,610256.67126464,210436.412958166,0.433704969,190,852,610259.166088691,210437.499601511,0.033166248,2,2,2
2156,166,190,861,610234.208498003,210429.661340137,0.115758369,190,860,610234.639281505,210430.333679717,0.071414284,2,2,2
2157,166,190,861,610230.25009563,210425.231531947,0.163095064,190,861,610234.208498003,210429.661340137,0.115758369,2,2,2
2158,166,190,861,610229.555934628,210423.924750556,0.239582971,190,861,610230.25009563,210425.231531947,0.163095064,2,2,2
2159,166,190,861,610222.836678944,210431.925023967,0.466690476,190,861,610229.555934628,210423.924750556,0.239582971,2,2,2
2160,166,190,862,610221.815725433,210431.232973317,0.457165178,190,861,610222.836678944,210431.925023967,0.466690476,2,2,2
2161,166,190,862,610223.271317827,210432.929351226,0.145945195,190,862,610221.815725433,210431.232973317,0.457165178,1,3,6
2162,166,190,862,610221.790051799,210429.021944218,0.5800862,190,862,610223.271317827,210432.929351226,0.145945195,2,2,2
2166,166,190,863,610220.178873882,210430.222683391,0.106301458,190,863,610221.292519543,210427.394128026,0.1396424,2,2,2
2170,166,190,865,610212.570660918,210435.477441351,0.116619038,190,864,610211.713384071,210435.460834114,0.156204994,2,2,9
2590,166,192,924,610237.835566422,210465.936668984,0.05,192,923,610241.140204718,210467.744357713,0.312089731,2,2,2
2591,166,192,924,610235.428997348,210468.614232588,0.498096376,192,924,610237.835566422,210465.936668984,0.05,2,2,2
2592,166,192,924,610233.761584568,210472.637893561,0.278208555,192,924,610235.428997348,210468.614232588,0.498096376,2,2,2
2593,166,192,924,610235.762362618,210475.270885183,0.26925824,192,924,610233.761584568,210472.637893561,0.278208555,2,2,2
2595,166,192,925,610238.585203541,210480.636888971,0.33015148,192,925,610235.69499167,210478.093925091,0.254558441,2,2,2
2596,166,192,925,610240.342758543,210483.412154149,0.540925133,192,925,610238.585203541,210480.636888971,0.33015148,2,2,2
2597,166,192,925,610240.485292607,210487.056185976,0.243515913,192,925,610240.342758543,210483.412154149,0.540925133,2,2,2
2598,166,192,926,610244.329957143,210488.39938107,0.163095064,192,925,610240.485292607,210487.056185976,0.243515913,2,2,2
2582,166,192,921,610261.1970965,210464.775390967,0.45033321,192,919,610269.344942323,210464.773688921,0.133790882,2,2,2
2604,166,192,928,610256.384910215,210495.112330402,0.405709256,192,927,610254.669936505,210492.170569359,0.243721152,2,2,2
2605,166,192,928,610258.97265704,210495.573649366,0.50009999,192,928,610256.384910215,210495.112330402,0.405709256,2,2,2
2606,166,192,928,610257.184456039,210494.950302175,0.139283883,192,928,610258.97265704,210495.573649366,0.50009999,1,1,1
2583,166,192,922,610254.792746518,210459.636949703,0.100498756,192,921,610261.1970965,210464.775390967,0.45033321,1,1,1
2612,166,192,930,610257.530024066,210494.03652607,0.123693169,192,929,610258.077451688,210494.209457662,0.094339811,1,1,1
2619,166,192,932,610257.241815897,210494.139485154,0.075498344,192,931,610257.666419138,210495.236884496,0.094339811,1,1,12
2620,166,192,932,610258.065936291,210494.17638866,0.06164414,192,932,610257.241815897,210494.139485154,0.075498344,1,1,12
2621,166,192,932,610259.788301141,210493.923945898,0.253574447,192,932,610258.065936291,210494.17638866,0.06164414,1,1,12
2622,166,192,933,610256.597494347,210492.334098174,0.107238053,192,932,610259.788301141,210493.923945898,0.253574447,1,1,1
2624,166,192,934,610256.563319334,210493.224332667,0.140356688,192,933,610256.620896287,210493.389677743,0.051961524,1,1,1
2626,166,192,935,610256.673610523,210493.136723049,0.08660254,192,934,610256.630419621,210492.293871969,0.132664992,1,1,1
2627,166,192,935,610256.813107383,210493.646425754,0.050990195,192,935,610256.673610523,210493.136723049,0.08660254,1,1,1
2628,166,192,935,610255.681067062,210493.931849438,0.115325626,192,935,610256.813107383,210493.646425754,0.050990195,1,1,1
2931,166,194,1035,610262.804447728,210494.851765192,0.216564078,194,1024,610232.292736682,210444.890577293,0.117898261,2,2,2
2932,166,194,1045,610251.712685107,210481.945246177,0.06,194,1035,610262.804447728,210494.851765192,0.216564078,1,7,13
2933,166,194,1056,610253.262706778,210481.229970002,0.080622577,194,1045,610251.712685107,210481.945246177,0.06,1,7,13
3029,166,195,635,610298.246733876,210521.765472469,0.054772256,195,634,610288.862145066,210519.749654725,0.192613603,2,3,3
3040,166,195,639,610290.575022069,210498.579646277,0.124498996,195,639,610290.492212489,210501.030964359,0.351710108,2,2,2
3041,166,195,640,610282.172846487,210496.811339426,0.88096538,195,639,610290.575022069,210498.579646277,0.124498996,2,2,2
3042,166,195,640,610280.91391522,210490.969017054,0.088317609,195,640,610282.172846487,210496.811339426,0.88096538,2,2,2
3043,166,195,641,610277.062735653,210490.980582534,0.270370117,195,640,610280.91391522,210490.969017054,0.088317609,2,2,2
3048,166,195,642,610274.803346877,210488.124847853,0.356230263,195,642,610278.087618491,210488.17963934,0.38340579,1,3,4
3053,166,195,643,610267.247276122,210489.24196609,0.160934769,195,643,610269.4876478,210487.588986948,0.219317122,2,2,2
3055,166,195,644,610270.330677107,210489.252608089,0.232163735,195,644,610270.469386459,210490.652153196,0.141774469,2,2,2
3058,166,195,645,610266.884113215,210483.854051476,0.4982971,195,645,610270.541042682,210485.325593811,0.136381817,2,2,2
3059,166,195,646,610267.695302552,210480.863011399,0.123693169,195,645,610266.884113215,210483.854051476,0.4982971,2,2,2
3060,166,195,646,610267.161449408,210478.027055934,0.134907376,195,646,610267.695302552,210480.863011399,0.123693169,1,1,1
3061,166,195,646,610265.598445759,210478.583106455,0.051961524,195,646,610267.161449408,210478.027055934,0.134907376,1,1,1
3066,166,195,648,610257.236647606,210475.499451172,0.328329103,195,647,610261.399665175,210476.460438235,0.865794433,2,2,2
3032,166,195,636,610304.971890525,210527.683632441,0.487442304,195,636,610301.17577269,210523.816526474,0.224944438,1,3,4
3067,166,195,648,610259.245524457,210474.997984367,0.074833148,195,648,610257.236647606,210475.499451172,0.328329103,2,2,2
3068,166,195,649,610257.085601108,210476.869164949,0.01,195,648,610259.245524457,210474.997984367,0.074833148,2,2,2
3070,166,195,649,610252.071408668,210480.247728464,0.380657326,195,649,610252.769471737,210476.142376962,0.18493242,2,4,8
3071,166,195,650,610254.770543061,210479.758158647,0.13,195,649,610252.071408668,210480.247728464,0.380657326,1,7,13
3072,166,195,650,610256.541902175,210479.890304944,0.04,195,650,610254.770543061,210479.758158647,0.13,1,7,13
3033,166,195,636,610306.667052038,210527.006503512,0.284429253,195,636,610304.971890525,210527.683632441,0.487442304,2,2,2
3077,166,195,651,610254.697421219,210480.170724337,0.065574385,195,651,610253.551858441,210480.250444101,0.106301458,1,7,13
3078,166,195,651,610256.320238967,210479.972568061,0.108627805,195,651,610254.697421219,210480.170724337,0.065574385,1,7,13
3079,166,195,652,610256.30778039,210480.816066026,0.100498756,195,651,610256.320238967,210479.972568061,0.108627805,1,7,13
3082,166,195,653,610256.524041808,210480.269025342,0.072801099,195,652,610256.670653999,210480.433335772,0.104403065,1,7,13
3083,166,195,653,610256.482379183,210480.515210863,0.200249844,195,653,610256.524041808,210480.269025342,0.072801099,1,7,13
3084,166,195,653,610255.948242233,210480.52805933,0.083066239,195,653,610256.482379183,210480.515210863,0.200249844,1,7,13
3085,166,195,653,610255.326535796,210480.668096529,0.087749644,195,653,610255.948242233,210480.52805933,0.083066239,1,7,13
3034,166,195,637,610303.866940008,210523.599289857,0.128840987,195,636,610306.667052038,210527.006503512,0.284429253,2,2,2
3089,166,195,654,610256.09786401,210480.951317276,0.03,195,654,610256.482456351,210480.521850542,0.09797959,1,7,13
3090,166,195,655,610255.736319469,210480.490678895,0.070710678,195,654,610256.09786401,210480.951317276,0.03,1,7,13
3091,166,195,655,610256.54630073,210480.268766644,0.09486833,195,655,610255.736319469,210480.490678895,0.070710678,1,7,13
3092,166,195,655,610256.073058522,210480.732466551,0.129614814,195,655,610256.54630073,210480.268766644,0.09486833,1,7,13
3096,166,195,656,610256.412266996,210481.186723904,0.067082039,195,656,610256.315668775,210480.537070147,0.150996689,1,7,13
3035,166,195,637,610302.199709629,210520.93591456,0.858254042,195,637,610303.866940008,210523.599289857,0.128840987,2,2,2
3097,166,195,657,610256.480912988,210480.389056961,0.024494897,195,656,610256.412266996,210481.186723904,0.067082039,1,7,13
3098,166,195,657,610256.746090849,210480.219960608,0.057445626,195,657,610256.480912988,210480.389056961,0.024494897,1,7,13
3099,166,195,657,610256.760384199,210480.492058084,0.031622777,195,657,610256.746090849,210480.219960608,0.057445626,1,7,13
3103,166,195,659,610324.145185691,210498.508096521,9.224212704,195,658,610256.007747961,210480.859396566,0.189208879,3,6,10
3104,166,195,660,610283.650330061,210327.792531248,11.79300216,195,659,610324.145185691,210498.508096521,9.224212704,3,6,10
3106,166,195,661,610289.318719743,210426.856611077,0.017320508,195,660,610324.304416341,210452.826373513,8.484780492,1,1,1
3107,166,195,661,610294.485737003,210421.298264698,0.743639698,195,661,610289.318719743,210426.856611077,0.017320508,1,1,1
3109,166,195,662,610293.158372579,210422.017570808,0.111803399,195,662,610291.355496244,210423.964254799,0.017320508,1,1,1
3110,166,195,663,610288.889721186,210439.757499758,0.60506198,195,662,610293.158372579,210422.017570808,0.111803399,2,8,14
3111,166,195,664,610290.614042298,210438.714832608,0.131529464,195,663,610288.889721186,210439.757499758,0.60506198,1,1,1
3113,166,195,665,610286.911092712,210439.030099122,0.321558704,195,664,610289.303413857,210440.874944559,0.070710678,1,1,1
3114,166,195,665,610288.68975114,210440.749261095,0.294788059,195,665,610286.911092712,210439.030099122,0.321558704,1,1,1
3247,166,196,653,610217.18234334,210438.651232864,0.083066239,196,643,610267.706613173,210471.300473349,0.358050276,2,2,2
3390,166,197,726,610226.331507009,210476.934386782,0.197230829,197,715,610230.644602343,210497.510003506,0.16881943,2,2,2
3400,166,197,731,610230.737769994,210476.796851712,0.284429253,197,731,610231.049045448,210474.847535199,0.16881943,1,1,1
