@relation gps_data_classes-weka.filters.unsupervised.attribute.Remove-V-R3-12

@attribute day numeric
@attribute min numeric
@attribute y numeric
@attribute x numeric
@attribute speed numeric
@attribute prevDay numeric
@attribute prevMin numeric
@attribute prevY numeric
@attribute prevX numeric
@attribute prevSpeed numeric

@data
184,552,610234.93199,210470.864532,0.219773,184,552,610233.371551,210470.683447,0.171172
184,553,610234.050526,210470.682198,0.08124,184,552,610234.93199,210470.864532,0.219773
184,543,610251.356244,210477.134966,0.479792,184,543,610251.944895,210479.897248,0.198242
185,994,610253.392006,210513.415362,0.262488,185,994,610261.632098,210509.8598,0.271846
185,994,610259.364357,210512.987318,0.546717,185,994,610253.392006,210513.415362,0.262488
185,995,610260.140047,210517.473965,0.345832,185,994,610259.308524,210515.843414,0.50705
185,996,610271.185513,210523.521224,0.178326,185,996,610265.58501,210522.424266,0.180555
185,991,610283.873936,210516.746382,0.082462,185,988,610282.655323,210518.201552,0.07
185,997,610264.285841,210526.523325,0.275318,185,996,610264.651044,210524.427299,0.315278
185,998,610260.15458,210525.422561,0.064031,185,997,610264.285841,210526.523325,0.275318
185,998,610253.918607,210525.19627,0.303809,185,998,610260.15458,210525.422561,0.064031
185,998,610260.061056,210525.994738,0.014142,185,998,610253.918607,210525.19627,0.303809
185,999,610243.108967,210525.069661,0.39,185,998,610260.061056,210525.994738,0.014142
185,1000,610240.941864,210519.623014,0.309031,185,1000,610241.616341,210521.149148,0.162481
185,1002,610240.783133,210510.75966,0.333916,185,1001,610237.483432,210515.121064,0.472229
185,1002,610239.425814,210509.859041,0.33121,185,1002,610240.783133,210510.75966,0.333916
185,1002,610234.360632,210506.936308,0.330757,185,1002,610230.666875,210508.041756,0.410974
185,1004,610243.206493,210498.997548,0.20664,185,1004,610236.715752,210500.792927,0.454863
185,1004,610240.042884,210497.83238,0.159374,185,1004,610243.206493,210498.997548,0.20664
185,1005,610240.754679,210499.696754,0.080623,185,1004,610240.042884,210497.83238,0.159374
185,1005,610244.265068,210496.222754,0.568067,185,1005,610240.754679,210499.696754,0.080623
185,993,610273.154453,210512.886717,0.170294,185,992,610272.724055,210511.291348,0.211187
186,995,610213.025433,210497.608589,1.239718,186,994,610225.147085,210499.526259,0.120416
186,998,610219.775352,210498.957852,0.422374,186,997,610225.57178,210499.674055,0.11225
