@relation gps_data_extended-weka.filters.unsupervised.attribute.Remove-V-R3-last-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric

@data
195,619,0.168226,3.601942,2.071108,0.573073,7.228075
185,1046,0.1,3.145213,0.767738,0.202585,11.369124
197,1187,0.094868,82620.249154,26.18119,0.875191,1854.720566
221,1277,0.014142,671.584886,0.871046,0.869011,185.433037
197,1248,0.44587,22698.737182,9.869355,0.964905,623.927143
186,677,0.064031,1.245403,0.311678,0.242982,7.696296
66,126,0.255734,27.288096,0.01243,0.088549,25.688299
207,1169,0.122474,2764.552457,0.386095,0.242575,288.089106
208,699,0.134907,29588.07374,1.813744,0.667014,579.18965
187,237,0,30321.897785,23.55365,0.946822,1542.344408
207,954,0.537959,1200.076315,0.312567,0.25613,220.88283
190,888,0.123693,31.868649,5.628024,0.429457,26.209949
188,756,0.05831,1.040836,0.896159,0.175867,5.095661
188,1321,0.070711,44.577826,0.030373,0.175211,28.429477
191,939,0.144914,30.326053,7.015828,0.757099,18.533449
215,499,0.022361,332.949372,0.362699,0.763089,87.455942
77,580,0.38923,620.899791,0.462455,0.806744,105.475448
195,290,0.066332,4587.478318,11.08856,0.93891,732.222397
191,707,0.014142,30.516769,0.018178,0.04906,24.08441
186,1010,0.15843,206.668413,3.029013,0.668724,58.884012
222,926,0.02,67156.477772,6.192264,0.962231,1177.663756
194,746,0.014142,9762.348942,7.542117,0.728448,652.281547
186,693,0.450111,2.06401,4.355606,0.709501,12.277941
70,1315,0.106771,182.753361,0.053282,0.128586,75.414755
257,927,0.115326,85024.520536,3.246028,0.574739,1033.552164
197,106,0,3173.878403,1.075252,0.238673,333.379201
182,782,0.123288,14.589223,4.953225,0.339545,14.587853
183,163,0.191311,264.128434,0.768649,0.728072,64.3997
73,8,0.110454,10119.062933,0.106627,0.008008,1624.343817
191,909,0.708308,42.811825,7.863416,0.825062,19.061402
192,639,0.071414,30.524518,0.326636,0.579293,34.958851
79,667,0.024495,23645.061133,1.039807,0.316965,610.17478
186,1048,0,86.361291,0.078608,0.12534,40.765023
196,609,0.209045,1.845831,0.947602,0.093118,10.176335
189,1201,0.100499,365.194887,0.011889,0.022829,96.339995
257,794,0.396358,165988.048111,4.67275,0.507031,1686.510298
208,759,0.199499,630.297116,0.247689,0.487149,92.537203
187,878,0.54461,1789.909364,1.28575,0.424823,184.6198
193,1003,0.242281,19.660481,4.31684,0.494409,17.462638
189,804,0.045826,33.649938,16.84135,0.619571,27.182292
78,301,7.776953,158890.773286,9.800741,0.799644,1483.022885
191,915,0.359444,19.439168,7.936358,0.563186,14.091904
